Comentario,Comentario_Para_BERT,Sentimiento,Confianza
Aquí tienes el descuento CyberGhost VPN: https://www.cyberghostvpn.com/InteligenciaArtificial,Aquí tienes el descuento CyberGhost VPN:,Neutral,0.7459667921066284
"Y todo eso que hiciste te salio gratis? Bajar un canal entero de Youtube, transcribirlo, y todo sin un solo costo? no consume tokens de la api?","Y todo eso que hiciste te salio gratis? Bajar un canal entero de Youtube, transcribirlo, y todo sin un solo costo? no consume tokens de la api?",Negativo,0.5980222821235657
cuando terminas una frase se te va muy abajo el volumen de tu voz y no se suele entender lo que decís. Una pequeña no menor observación,cuando terminas una frase se te va muy abajo el volumen de tu voz y no se suele entender lo que decís. Una pequeña no menor observación,Negativo,0.9576291441917419
🤣,🤣,Neutral,0.0
ni llevado por la peor de las drogas pagaría 100 pavos por eso xD,ni llevado por la peor de las drogas pagaría 100 pavos por eso xD,Negativo,0.8826078772544861
"Pero tu no te informas antes de darle al boton enviar? clawdbot es una pesadilla de seguridad y la gente que lo usa esta siendo hackeada """"""en masa""""""","Pero tu no te informas antes de darle al boton enviar? clawdbot es una pesadilla de seguridad y la gente que lo usa esta siendo hackeada """"""en masa""""""",Negativo,0.9598180055618286
La parte de los riesgos es clave ⚠ Mucha gente va a instalar esto sin entender el peligro… después no digan que nadie avisó.,La parte de los riesgos es clave ⚠ Mucha gente va a instalar esto sin entender el peligro… después no digan que nadie avisó.,Negativo,0.6405344009399414
Puedexser q el video short no lo mostró?,Puedexser q el video short no lo mostró?,Negativo,0.5515822172164917
y la opcion de ejecutarlo en una maquina virtual?,y la opcion de ejecutarlo en una maquina virtual?,Neutral,0.7983992695808411
"nno sera el p*to malware ?, de momento mantenganse alejados de clawdbot/moltbot es un gran riesgo","nno sera el p*to malware ?, de momento mantenganse alejados de clawdbot/moltbot es un gran riesgo",Negativo,0.6961440443992615
Aquí una opinión muy distinta sobre esta cosa https://m.youtube.com/watch?v=ld2-pMJOuwA,Aquí una opinión muy distinta sobre esta cosa,Neutral,0.8311996459960938
Prefiero esperar a que Gemini haga algo parecido,Prefiero esperar a que Gemini haga algo parecido,Neutral,0.8438009023666382
"Podes usar un mac mini para Clawdbot y otro para tu propio modelo de LLM, estaria genial","Podes usar un mac mini para Clawdbot y otro para tu propio modelo de LLM, estaria genial",Positivo,0.5076544880867004
"Y en el móvil, como lo haces??","Y en el móvil, como lo haces??",Neutral,0.654896080493927
Se parece a la AI de la series de Loky. 😅,Se parece a la AI de la series de Loky. 😅,Neutral,0.516794741153717
UFF ahora es un canal de propaganda,UFF ahora es un canal de propaganda,Negativo,0.5620707869529724
Excelenteee,Excelenteee,Neutral,0.6215632557868958
Igualito a la pelicula de 2013  Her,Igualito a la pelicula de 2013 Her,Neutral,0.7194207906723022
Macbook Mini?? ;.),Macbook Mini?? ;.),Neutral,0.8104003667831421
jeje Parece mas una venta de productos.,jeje Parece mas una venta de productos.,Neutral,0.5628114342689514
Para que usarlo si va a ser riesgoso por la seguridad?,Para que usarlo si va a ser riesgoso por la seguridad?,Negativo,0.8282765746116638
"Como gestionas el máximo de tokens de entrada? Porque a mí en una sola conversación sencilla me superó los límites de TPM de mi API de Google (en concreto lanzaba consultas de 1.3M de tokens, una bestialidad)","Como gestionas el máximo de tokens de entrada? Porque a mí en una sola conversación sencilla me superó los límites de TPM de mi API de Google (en concreto lanzaba consultas de 1.3M de tokens, una bestialidad)",Neutral,0.7334039211273193
Sabes John...todo eso que hace este asistente no lo utiliza más que una minoría....venden porches para lo que sobra una bicicleta o unos patines...son herramientas totalmente prescindibles....como miles de herramientas de software que nadie utiliza.,Sabes John...todo eso que hace este asistente no lo utiliza más que una minoría....venden porches para lo que sobra una bicicleta o unos patines...son herramientas totalmente prescindibles....como miles de herramientas de software que nadie utiliza.,Negativo,0.9448588490486145
En tu miniatura parece que estás desguillado y que tu cerebro te lo acabo de arrancar o que te lo sustituyeron por un trozo de chicle.,En tu miniatura parece que estás desguillado y que tu cerebro te lo acabo de arrancar o que te lo sustituyeron por un trozo de chicle.,Negativo,0.9374504089355469
"Hey hermano una pasada..!
Saludos desde rep.dom !!
Bendiciones!",Hey hermano una pasada..! Saludos desde rep.dom !! Bendiciones!,Positivo,0.9549920558929443
Y si lo montamos en una Maquina virtual?,Y si lo montamos en una Maquina virtual?,Neutral,0.8703205585479736
"Franchement, Merci pour la valeur, j’applique ça dès aujourd’hui. 👏 Merci pour le partage.","Franchement, Merci pour la valeur, j’applique ça dès aujourd’hui. 👏 Merci pour le partage.",Positivo,0.7550890445709229
"Visto lo visto prefiero seguir con mi second brain configurado con  gemini cli + obsidian, en un lxc de proxmox. Costes controlados y con casi toda la funcionalidad.","Visto lo visto prefiero seguir con mi second brain configurado con gemini cli + obsidian, en un lxc de proxmox. Costes controlados y con casi toda la funcionalidad.",Neutral,0.7588312029838562
"genial! yo hubiera hecho que clippy reaccionara facialmente a tus comentarios... hubiera quedado graciocísimo! jajaja 

p.e.: que se ponga triste cuando dijiste que quedaba aislado en una minibox... jajajaja",genial! yo hubiera hecho que clippy reaccionara facialmente a tus comentarios... hubiera quedado graciocísimo! jajaja p.e.: que se ponga triste cuando dijiste que quedaba aislado en una minibox... jajajaja,Positivo,0.5786253809928894
Macbook mini??,Macbook mini??,Neutral,0.7829418182373047
Aqui veo mucho novato que no sabe del gran problema de estos agentes 😂,Aqui veo mucho novato que no sabe del gran problema de estos agentes 😂,Negativo,0.8908346891403198
el pdf es una verdadera cagada,el pdf es una verdadera cagada,Negativo,0.9747166037559509
11:37 700 palabras y cuantas más? 🫴🫴,11:37 700 palabras y cuantas más? 🫴🫴,Neutral,0.764155924320221
Saludos y gracias por la información,Saludos y gracias por la información,Positivo,0.837810754776001
Unfortunately the PDF is in Spanish please send English version!!!,Unfortunately the PDF is in Spanish please send English version!!!,Negativo,0.5604891777038574
"A mí me llama la atención la mac book Mini, donde la consigo en Perú ?","A mí me llama la atención la mac book Mini, donde la consigo en Perú ?",Neutral,0.8394918441772461
"Un gran video y realmente es apasionante, pero se te olvidó comentar que, al funcionar con APIS, el coste es altísimo. Acabo de ver el video de @dotCSV y habla de más de 20 euros diarios… ¿tienes algo que comentar al respecto?","Un gran video y realmente es apasionante, pero se te olvidó comentar que, al funcionar con APIS, el coste es altísimo. Acabo de ver el video de @dotCSV y habla de más de 20 euros diarios… ¿tienes algo que comentar al respecto?",Positivo,0.4974913001060486
Me dejó pensando el promt inyección xD si coloco un paso de seguridad para esas casos como decirle al agente que me dé una llamada para q digite un codigo de confirmación o quizá un correo o un mensaje de WhatsApp? Podría funcionar ?,Me dejó pensando el promt inyección xD si coloco un paso de seguridad para esas casos como decirle al agente que me dé una llamada para q digite un codigo de confirmación o quizá un correo o un mensaje de WhatsApp? Podría funcionar ?,Neutral,0.8952508568763733
"Menuda voz de mierda parecida a la de Loquendo o mejoran eso o no hay nada que hacer, además seguro que no sabe crear una coreografía a partir de una canción o simplemente un vídeo demostrativo de baile a partir de una canción, si hace eso me da igual la voz, pero aún NO puede hacer eso. Es decir crear un vídeo a partir de una canción con una instructora (representante claro) de baile de Zumba por ejemplo con los pasos o como se baila.","Menuda voz de mierda parecida a la de Loquendo o mejoran eso o no hay nada que hacer, además seguro que no sabe crear una coreografía a partir de una canción o simplemente un vídeo demostrativo de baile a partir de una canción, si hace eso me da igual la voz, pero aún NO puede hacer eso. Es decir crear un vídeo a partir de una canción con una instructora (representante claro) de baile de Zumba por ejemplo con los pasos o como se baila.",Negativo,0.9508332014083862
Y no es posible que lo haya creado Google y lo haya sacado al mercado como si lo hubiera hecho un chaval en un garaje?,Y no es posible que lo haya creado Google y lo haya sacado al mercado como si lo hubiera hecho un chaval en un garaje?,Negativo,0.8510339856147766
ni con un palo voy a tocar esta cosa. gracias,ni con un palo voy a tocar esta cosa. gracias,Negativo,0.6718131303787231
Vale Kratos.,Vale Kratos.,Neutral,0.5076778531074524
"Muy buenas John. 
Y a toda la peña.
Eres un crack John.
Cres que se puede utilizar en plataformas de traiding 😂 ?🤔🤔🤔",Muy buenas John. Y a toda la peña. Eres un crack John. Cres que se puede utilizar en plataformas de traiding 😂 ?🤔🤔🤔,Neutral,0.5482534766197205
Todas las semanas salen videos de nuevas IA y siempre dicen que es lo ultimo y mejor,Todas las semanas salen videos de nuevas IA y siempre dicen que es lo ultimo y mejor,Neutral,0.5691840052604675
peligroso mas que nada porque han hackeado su cuenta en la migración de nombre,peligroso mas que nada porque han hackeado su cuenta en la migración de nombre,Negativo,0.7899909615516663
"Creo una base de datos con todo tu contenido? debe ser una burrada de grande.

Como busca dentro de esa base de datos sii no tiene un RAG? si no tienes una base de datos vectorial que compare semánticamente lo que le pides? No creo que sea lo mas preciso del mundo, dara respuestas muy superficiales. Aun asi, tremenda herramienta, ya quiero probarla :)

Saludos crack","Creo una base de datos con todo tu contenido? debe ser una burrada de grande. Como busca dentro de esa base de datos sii no tiene un RAG? si no tienes una base de datos vectorial que compare semánticamente lo que le pides? No creo que sea lo mas preciso del mundo, dara respuestas muy superficiales. Aun asi, tremenda herramienta, ya quiero probarla :) Saludos crack",Negativo,0.7605304718017578
"Muy bien Jon, te has sumado a la vorágine de Clawbot o Motbot.
Interesante visión la tuya pero olvidas citar algunos detalles por ejemplo que mod bot tira de otra inteligencia artificial a base de claves API que en las más de las veces cuesta buen dinerito según cuál uses. Considero un poco despilfarro utilizar un mini PC de Apple para hacer estas cosas habiéndolos por la mitad de precio con más potencia y características. Puede ser que alguien se le ocurra dar acceso al banco con este agente pero sería suicida guardar las claves de acceso en un archivo de texto sea cual sea la situación. Espero que sea ruta a seguir para las demás empresas de IA y hagan algo más terminado y menos instrumental y de línea de comando, también se te ha olvidado indicar que para instalarlo tienes que tener la utilidad Node.js. tampoco comentas que modbot no tiene voz ni sabe reconocer el habla que todo eso se lo tienes que implementar tú a base de aplicativos o utilidades como si has citado Whisper y algunas otras cosas por qué pareciera que ya viene preparado con todo esto pero no es así. En fin muy interesante y útil tu exposición y será bueno que vayas contándonos tus experiencias.","Muy bien Jon, te has sumado a la vorágine de Clawbot o Motbot. Interesante visión la tuya pero olvidas citar algunos detalles por ejemplo que mod bot tira de otra inteligencia artificial a base de claves API que en las más de las veces cuesta buen dinerito según cuál uses. Considero un poco despilfarro utilizar un mini PC de Apple para hacer estas cosas habiéndolos por la mitad de precio con más potencia y características. Puede ser que alguien se le ocurra dar acceso al banco con este agente pero sería suicida guardar las claves de acceso en un archivo de texto sea cual sea la situación. Espero que sea ruta a seguir para las demás empresas de IA y hagan algo más terminado y menos instrumental y de línea de comando, también se te ha olvidado indicar que para instalarlo tienes que tener la utilidad Node.js. tampoco comentas que modbot no tiene voz ni sabe reconocer el habla que todo eso se lo tienes que implementar tú a base de aplicativos o utilidades como si has citado Whisper y algunas otras cosas por qué pareciera que ya viene preparado con todo esto pero no es así. En fin muy interesante y útil tu exposición y será bueno que vayas contándonos tus experiencias.",Negativo,0.8390734791755676
"En una manzanita de 700 lereles... prefiero un servidor en la nube. Supongo también que tu pera tiene Windows instalado porque mostraste la interfaz de Windows. ¿Se me está haciendo la pixa un lío o como estas hablando con él a través de WhatsApp como medio de comunicación? Pero aun así, el filtro de instalarlo en un PC independiente sería evitar que acceda a los documentos o archivos de mi PC habitual. Me parece genial, pero los riesgos siguen estando, aun así creo que será una herramienta estupenda cuando sigan puliendo y solventando estos puntos. ¡Gracias por compartir esta herramienta genial!!!! Saludos","En una manzanita de 700 lereles... prefiero un servidor en la nube. Supongo también que tu pera tiene Windows instalado porque mostraste la interfaz de Windows. ¿Se me está haciendo la pixa un lío o como estas hablando con él a través de WhatsApp como medio de comunicación? Pero aun así, el filtro de instalarlo en un PC independiente sería evitar que acceda a los documentos o archivos de mi PC habitual. Me parece genial, pero los riesgos siguen estando, aun así creo que será una herramienta estupenda cuando sigan puliendo y solventando estos puntos. ¡Gracias por compartir esta herramienta genial!!!! Saludos",Neutral,0.5022044777870178
14:24 Me entero de que mi banco controla mis cuentas de esta forma y les meto una denuncia que los tiro para atrás.,14:24 Me entero de que mi banco controla mis cuentas de esta forma y les meto una denuncia que los tiro para atrás.,Negativo,0.9192695617675781
Pero no mostraste el reel,Pero no mostraste el reel,Negativo,0.5477917790412903
